post_napoleonic_thought;Post-Napoleonic Thought;Pensée post-napoléonienne;Postnapoleonischer Gedanke;;Pensamiento post-napoleónico;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
phenomenology_n_hermeneutic;Phenomenology & Hermeneutic;Phénoménologie - Herméneutiqu.;Phänomenologie & Hermeneutik;;Fenomenología y Hermenéutica;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
phenomenology_n_hermeneutic_desc;Phenomenology & Hermeneutic;Phénoménologie - Herméneutiqu.;Phänomenologie & Hermeneutik;;Fenomenología y Hermenéutica;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
phenomenology;Phenomenology;Phénoménologie;Phänomenologie;;Fenomenología;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
phenomenology_desc;Phenomenology was the view that something 'is' in relation to how it is experienced, its causes, its purposes and its grounds. It is neither correctly described as either realism or idealism, but to some degree refutes both.;La phénoménologie affirmait que chaque chose est en rapport avec l'expérience que l'on en a : ses causes, ses objectifs et ses fondements. Elle ne rejoint ni le réalisme ni l'idéalisme mais, ?un certain degr? réfute les deux.;Die Phänomenologie war die Ansicht, dass etwas in Beziehung dazu, wie es erfahren wird, seinen Ursachen, seinen Zwecken und seinen Gründen, existiert. Diese Denkrichtung kann weder korrekt als Realismus oder Idealismus beschrieben werden, widerlegt jedoch beide Philosophien in gewisser Weise.;;La Fenomenología era la visión de que algo 'es' en relación a cómo se experimenta, a sus causas, propósitos y razones. No sería correcto describirlo como realismo o idealismo, pero refuta ciertos aspectos de lo uno y de lo otro.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hermeneutics;Hermeneutics;Herméneutique;Hermeneutik;;Hermenéutica;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hermeneutics_desc;Hermeneutics is either a side-branch, or an evolution of Phenomenology, and stands for a interpretionist view of reality, but its belonging is more clearer associated with idealism than realism.;"L'herméneutique est ?la fois une branche et une évolution de la phénoménologie, et se pose comme une vision ""interprétationniste"" de la réalit? Mais son appartenance est clairement associée ?l'idéalisme plus qu'au réalisme.";Die Hermeneutik ist entweder ein Ableger oder eine Weiterentwicklung der Phänomenologie und steht für eine interpretationistische Sicht der Realität. Sie steht dem Idealismus aber näher als dem Realismus.;;La hermenéutica es una rama o una evolución de la Fenomenología, y representa una visión interpretativa de la realidad, aunque est?más claramente relacionada con el idealismo que con el realismo.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
anti__rationalism;Anti- Rationalism;Antirationalisme;Anti-Rationalismus;;Antirracionalismo;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
anti__rationalism_desc;Anti- Rationalism;Antirationalisme;Anti-Rationalismus;;Antirracionalismo;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
existentialism;Existentialism;Existentialisme;Existenzialismus;;Existencialismo;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
existentialism_desc;Existentialism has many mothers. In one way it could be interpreted as a radical individualism traced from Kierkegaard and Nietzsche, but it is more. But it also the notion of the given as not really given but only meaningful through the process of interpretation something that it got from Husserl and more indirectly from Bretano. However it was take further by Heidegger and later Sartre, Beauvoir, and Camus, and became focused on what give meaning to the person, where the person should be understood more like a being that is free to make action and thus create her own meaning than the old cartesian self.;;Der Existenzialismus war das geistige Kind Vieler. Auf eine Art konnte er als radikaler Individualismus interpretiert werden, wofür Kierkegaard und Nietzsche standen, aber der Existenzialismus war mehr als das: Er stand auch dafür, dass das Gegebene nicht wirklich gegeben war, sondern nur durch den Prozess der Interpretation Bedeutung erlangte. Diesen Aspekt steuerten Husserl und indirekt Bretano bei. Von Heidegger und später Sartre, Beauvoir und Camus wurde der Existenzialismus weiter vorangebracht und fokussierte sich zunehmend auf die Frage, was das Gegebene für die Person bedeutet, wobei die Person mehr als ein Wesen verstanden werden sollte, das seine Handlungen frei entscheiden und so gemäß dem alten kartesischen Selbst seine eigene Bedeutung erzeugen kann.;;El existencialismo tiene muchas madres. En un sentido podría interpretarse como un individualismo radical que se remonta hasta Kierkegaard y Nietzsche, pero es algo más. También es el concepto de don no como dado realmente, sino que sólo significa algo a través del proceso de interpretación, algo que venía desde Husserl y más indirectamente desde Brentano. No obstante, fue llevado más all?por Heidegger y luego por Sartre, Beauvoir y Camus, y se concentr?en lo que da sentido a la persona, entendiéndose 'persona' como un ser que es libre de realizar acciones y, por tanto, de crear su propio sentido en lugar del viejo yo cartesiano.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nihilism_and_the_will;Nihilism and The Will;Nihilisme et volont?Nihilismus und der Wille;;El nihilismo y la voluntad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nihilism_and_the_will_desc;The foundations for the trend away from the emphasis on human rationality in philosophy in the late nineteenth and early twentieth centuries would be established with a revival in the interest among some philosophers in nihilism, the rejection of the idea that the life of the individual has any meaning or purpose in the grand workings of the universe. In place of the self-value of the individual as a being, focus was placed on The Will, the human ability to intervene in a situation to his own benefit. Developed most effectively in the writings of Friedrich Nietzsche in the late nineteenth century, the dramatic impact of warfare in the industrial era would lead to further refinement of the concept by philosophers such as Martin Heidegger in the early twentieth century. In its denial of the value of absolutes as guides for the conduct of human behavior, Nihilism would help contribute to the further questioning, and for many the ultimate rejection, of the values and beliefs that had shaped the Victorian world, while the emphasis on Will would encourage action to challenge accepted practices and encourage the construction of new values;;Die Grundlagen für den philosophischen Trend des späten neunzehnten und frühen zwanzigsten Jahrhunderts, sich von der Betonung auf die menschliche Rationalität zu entfernen, wurden durch eine Erneuerung des Interesses einiger Philosophen am Nihilismus geschaffen, der Zurückweisung des Gedanken, dass das Leben des einzelnen Individuums im großen Gefüge des Universums auch nur die geringste Bedeutung hat. An Stelle des Selbstwerts des Individuums als Wesen wurde der Hauptaugenmerk auf den Willen gelegt, der menschlichen Fähigkeit, zum eigenen Vorteil in eine Situation einzugreifen. Wie am effizientesten in den Werken von Friedrich Nietzsche im späten neunzehnten Jahrhundert dargelegt, führte der dramatische Einfluss der Kriege des Industriezeitalters Anfang des zwanzigsten Jahrhunderts zur weiteren Verfeinerung des Konzepts durch Philosophen wie Martin Heidegger. Mit seiner Bestreitung des Werts des Absoluten als Hilfestellung für das menschliche Verhalten trug der Nihilismus zur weiteren Hinterfragung bei, und für viele letztendlich zur Ablehnung der Werte und Überzeugungen, die die viktorianische Welt geprägt hatten, während die Betonung auf dem Willen Handlungen zur Herausforderung akzeptierter Gebräuche und zur Schaffung neuer Werte ermutigte.;;Los cimientos para una corriente que abandonaría el énfasis en el racionalismo humano en la filosofía a finales del siglo XIX y principios del XX se pondrían con el renacimiento del interés entre algunos filósofos por el tema del nihilismo, el rechazo a la idea de que la vida del individuo tiene algún significado o propósito en el universo. En lugar de centrarse en el valor del individuo como ser, estos pensadores preferían ocuparse de la voluntad, la capacidad de intervenir en una situación en su propio beneficio. Desarrollado principalmente en las obras de Friedrich Nietzsche a finales del siglo XIX, este concepto sería perfeccionado a comienzos del siglo XX por filósofos como Martin Heidegger, como consecuencia del dramático impacto de la guerra en la sociedad industrial. Con su negación de los conceptos absolutos como pautas para el comportamiento humano, el nihilismo contribuiría a cuestionar (y, para muchos, a invalidar) los valores y certezas que habían dado su forma al mundo victoriano, mientras que el énfasis en la voluntad promovería la acción como vía para derribar las prácticas aceptadas y la construcción de valores nuevos.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
futurism;Futurism;Futurisme;Futurismus;;Futurismo;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
futurism_desc;As the questioning of the values and structures of the Victorian era gained momentum in intellectual circles in the early twentieth century, some intellectuals began to argue that a clean break with the past was needed in order to build a brilliant new future that the rise of industrial civilization had promised. Beginning as a movement within the arts that embraced new materials and stylistic techniques that attempted to capture the essence of material power and speed, Futurism would soon spread as an idea to challenge conventional structures of society and call for their replacement with a new social, political and economic order that embraced the reality of industrial society;;Als die Hinterfragung der Werte und Strukturen der viktorianischen Zeit Anfang des zwanzigsten Jahrhunderts in intellektuellen Kreisen Eigendynamik entwickelte, brachten einige Intellektuelle vor, zur Schaffung einer glänzenden Zukunft, den der Aufstieg der industrialisierten Zivilisation versprach, sei ein klarer Schnitt mit der Vergangenheit notwendig. Der Futurismus begann als künstlerische Bewegung, die neue Materialien und stilistische Techniken umfasste, und versuchte, die Essenz der materiellen Macht und Geschwindigkeit einzufangen. Schon bald verbreitete sich der Futurismus als ein Gedanke, der die konventionellen Strukturen der Gesellschaft herausforderte und deren Ersetzung mit einer neuen sozialen, politischen und wirtschaftlichen Ordnung verlangte, welche die Realität der industriellen Gesellschaft umfasste.;;A medida que el cuestionamiento de los valores y las estructuras de la época victoriana ganaba influencias en los círculos intelectuales a comienzos del siglo XX, algunos pensadores comenzaron a sostener que hacía falta un corte radical con el pasado para construir el brillante futuro que había prometido el ascenso de la civilización industrial. El futurismo, a pesar de sus comienzos como un movimiento artístico que propugnaba el uso de materiales y técnicas estilísticas nuevas para capturar la esencia de la potencia y la velocidad material, no tardaría en propagarse como una idea: la de que se debían desafiar las estructuras convencionales de la sociedad y reemplazarlas por un nuevo orden social, político y económico que abrazase la realidad de la sociedad industrial.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
quantum_theory;Quantum Theory;Théorie quantique;Quantentheorie;;Teoría cuántica;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
quantum_theory_desc;The dramatic expansion of scientific knowledge in the nineteenth century would lead to a questioning of the rational model of the basic structures of the universe that had culminated in the work of Isaac Newton in the late seventeenth century. As scientific equipment became more precise, discrepancies in the models of atomic behavior as understood in the nineteenth century resulted in further research into the nature of atomic particles and their interaction with forces such as energy. As a result of the work of physicists such as Albert Einstein and Werner Heisenberg, the idea that the basic structures of the universe could be known with precision by humans was shown to be incorrect, and an alternative view that there were elements of unpredictability in the structure and behavior of atomic particles would be proposed. While a major step forward in human understanding of the basic structures of matter, the emphasis of the random nature of some elements of the natural world further shook the Victorian faith in the ability of humanity to understand fully the natural world and reinforced the sense that the world was indeed not built upon completely rational behavior and assumptions;;Die dramatische Wissenserweiterung im neunzehnten Jahrhundert führte zur Hinterfragung des rationalen Modells der grundlegenden Strukturen des Universums, das im späten siebzehnten Jahrhundert mit der Arbeit von Isaac Newton seinen Höhepunkt erreicht hatte. Während die wissenschaftlichen Ausrüstungen immer präziser wurden, führten Diskrepanzen bei den Modellen atomaren Verhaltens, wie sie im neunzehnten Jahrhundert verstanden wurden, zu weiteren Erforschungen der Natur atomarer Partikel und ihrer Interaktion mit Kräften wie Energie. Als Ergebnis der Arbeit von Physikern wie Albert Einstein und Werner Heisenberg wurde die Vorstellung, Menschen könnten die grundlegenden Strukturen des Universum präzise entschlüsseln, als falsch bewiesen. Man schlug einen alternativen Ansatz vor, der besagte, dass es in der Struktur und im Verhalten von atomaren Partikeln unberechenbare Elemente gab. Obwohl dies ein großer Fortschritt des menschlichen Wissen um die grundlegenden Strukturen der Materie war, erschütterte die Betonung auf die Zufälligkeit mancher natürlicher Elemente den viktorianischen Glauben an die Fähigkeit der Menschheit, die Natur vollständig zu begreifen, in seinen Grundfesten, und stärkte die Ansicht, dass die Welt tatsächlich nicht auf vollständig rationalem Verhalten und Vermutungen gebaut war.;;El crecimiento exponencial del conocimiento científico durante el siglo XIX llevaría a cuestionar la visión racional de las estructuras del universo que había culminado, a finales del siglo XVII, en la obra de Isaac Newton. A medida que aumentaba la precisión de los aparatos científicos, las discrepancias descubiertas en el comportamiento de los átomos condujo a la profundización de los estudios sobre la naturaleza de las partículas atómicas y su interacción con fuerzas tales como la energía. La obra de físicos como Albert Einstein y Werner Heisenberg demostr?que la idea de que el ser humano podía conocer las estructuras básicas del universo era incorrecta y propuso como alternativa la posibilidad de que hubiera aspectos imposibles de predecir en la estructura y el comportamiento de las partículas atómicas. Aunque se trat?de un importante paso adelante en la comprensión de la naturaleza de la materia, el énfasis en la aleatoriedad de ciertos elementos del mundo natural fue un duro golpe a la idea victoriana de que el hombre podía llegar a comprender del todo la naturaleza y reforz?la sensación de que el mundo no se basaba en esquemas plenamente racionales.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
malthusian_thought;Malthusian Thought;Pensée malthusienne;Malthusischer Gedanke;;Pensamiento malthusiano;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
malthusian_thought_desc;Malthusian Thought;Pensée malthusienne;Malthusischer Gedanke;;Pensamiento malthusiano;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
positivism;Positivism;Positivisme;Positivismus;;Positivismo;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
positivism_desc;Positivism;Positivisme;Positivismus;;Positivismo;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
functionalism;Functionalism;Fonctionnalisme;Funktionalismus;;Funcionalismo;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
functionalism_desc;Functionalism;Fonctionnalisme;Funktionalismus;;Funcionalismo;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
biologism;Biologism;Biologisme;Biologismus;;Biologismo;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
biologism_desc;Biologism;Biologisme;Biologismus;;Biologismo;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
darwinism;Darwinism;Darwinisme;Darwinismus;;Darwinismo;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
darwinism_desc;Darwinism is a theory that says that natural selection operates on variations in older species to produce offspring that can be called new species, and that this explains the appearance of all species.;La théorie du darwinisme explique que la sélection naturelle provoque l'évolution des vieilles espèces qui deviennent alors de nouvelles espèces. Ceci explique alors l'apparition de toutes les espèces.;Die darwinistische Theorie besagt, dass die natürliche Auslese auf Variationen in älteren Arten basiert, deren Nachkommen als neue Arten bezeichnet werden können. Dies erklärt die Erscheinung sämtlicher Arten.;;La teoría del darwinismo afirma que la selección natural opera sobre variantes de especies más antiguas para producir una descendencia que puede denominarse una especie nueva, y que eso explica la aparición de todas las especies.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
social_darwinism;Social-darwinism;Darwinisme social;Sozialdarwinismus;;Darwinismo social;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
social_darwinism_desc;Social darwinism is a theory in sociology that says that individuals or groups achieve advantage over others as the result of genetic or biological superiority.;Le Darwinisme social est une théorie sociologique selon laquelle les individus ou les groupes d'individus prennent l'avantage sur les autres grâce ?leur supériorit?génétique ou biologique.;Der Sozialdarwinismus ist eine soziologische Theorie, die besagt, dass Individuen oder Gruppen aufgrund genetischer oder biologischer Überlegenheit Vorteile gegenüber anderen erlangen.;;El darwinismo social, como teoría de la sociología, afirma que los individuos o grupos obtienen ventaja sobre otros como resultado de una superioridad genética o biológica.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
social_science;Social Science;Sciences sociales;Sozialwissenschaft;;Ciencia Social;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
social_science_desc;Social Science;Sciences sociales;Sozialwissenschaft;;Ciencia Social;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sociology;Sociology;Sociologie;Soziologie;;Sociología;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sociology_desc;Sociology is the science of society, social institutions and social relationship. It attempts to recreate the effect of certain actions on societies.;La sociologie est la science de la sociét? des institutions et des relations sociales. Elle vise ?recréer l'effet de certaines actions sur les sociétés.;Die Soziologie untersucht die Gesellschaft, gesellschaftliche Einrichtungen und soziale Beziehungen. Sie versucht, den Effekt bestimmter Aktionen auf Gesellschaften nachzustellen.;;La sociología es la ciencia de la sociedad, las instituciones y las relaciones sociales. Intenta recrear el efecto de determinadas acciones sobre las sociedades.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
social_psychology;Social-psychology;Psychologie sociale;Sozialpsychologie;;Psicología social;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
social_psychology_desc;Social Psychology is the scientific study of how we think about, influence and relate to one another.;La psychologie sociale est l'étude scientifique de nos rapports ?l'autre, la manière dont nous le pensons, l'influençons, etc.;Die Sozialpsychologie ist das wissenschaftliche Studium davon, wie wir übereinander denken, uns gegenseitig beeinflussen und uns miteinander identifizieren.;;La psicología social es el estudio científico de cómo pensamos, influimos y relacionamos unos con otros.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
political_science;Political Science;Science politique;Politikwissenschaft;;Ciencia política;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
political_science_desc;Political Science is the study of government of states and other political units. Theoretically, it is applicable to any political entity.;La science politique est l'étude des types de gouvernement et des autres entités politiques. En théorie, elle s'applique ?n'importe quelle entit?politique.;Die Politikwissenschaft ist die Erforschung von Staatsregierungen und anderen politischen Einheiten. Theoretisch ist sie auf jedes politische Gebilde anwendbar.;;La ciencia política es el estudio del gobierno de los estados y de otras unidades políticas. Teóricamente, puede aplicarse a cualquier entidad política.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
social_anthropology;Social Anthropology;Anthropologie sociale;Sozialanthropologie;;Antropología social;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
social_anthropology_desc;Social Anthropology is the social science that studies the origins and social relationships of human beings.;L'Anthropologie sociale est la science sociale qui s'intéresse aux origines des rapports sociaux de l'être humain.;Die Sozialanthropologie ist die Sozialwissenschaft, die die Ursprünge und sozialen Beziehungen der Menschen untersucht.;;La antropología social es la ciencia social que estudia los orígenes y las relaciones sociales de los seres humanos.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
social_alienation;Social Alienation;Aliénation sociale;Soziale Verstimmung;;Alienación social;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
social_alienation_desc;Social Alienation;Aliénation sociale;Soziale Verstimmung;;Alienación social;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the_revolt_of_the_masses;The Revolt Of The Masses;La Révolte des masses;Der Aufstand der Massen;;La rebelión de las masas;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the_revolt_of_the_masses_desc;The move towards the establishment of universal suffrage as the basis for determining the balance of political power in society led to an increased sense of hope that with democracy the issues and concerns of The People would finally be addressed. The resulting factionalism caused by the growth of political parties in wake of universal suffrage soon exposed the limitations of liberal democracy as a system for the arbitration of power in society (especially in times of social, economic or political crisis) and led to a great deal of disenchantment with the ideals of democracy as the best system of governance and a search for potential alternatives to more effectively achieve the promises of a better life for all. Written in 1930 by the Spanish intellectual Jose Ortega y Gasset, “The Revolt Of The Masses?warns of the potential threat to the ideal of liberal democracy in its current limitations and the potential for the masses to overwhelm the political system and replace it with alternatives that in the end would destroy the basic principles of classic liberal democracy unless liberal democracy was able to reform itself to meet the challenges produced by mass politics.;;"Der Schritt in Richtung der Einführung des universalen Wahlrechts als Grundlage zur Bestimmung des politischen Machtgefüges innerhalb der Gesellschaft führte zu steigenden Hoffnungen darauf, dass mit der Einführung der Demokratie die Probleme und Sorgen des Volks endlich gehört werden würden. Der resultierende, vom Anwachsen politischer Parteien vor Einführung des Universalwahlrechts verursachte Faktionalismus legte schon bald die Einschränkungen der liberalen Demokratie als System zur Machtverteilung in der Gesellschaft offen, besonders in Zeiten sozialer, wirtschaftlicher und politischer Missstände. Dies führte vielfach dazu, dass sich die Menschen von den demokratischen Idealen stark enttäuscht zeigten und die Demokratie nicht mehr als das beste Regierungssystem ansahen. Nun setzte eine Suche nach potentiellen Alternativen ein, um das Leben aller effizienter zu verbessern. Das im Jahr 1930 vom spanischen Intellektuellen Jose Ortega y Gasset veröffentlichte Werk ""Der Aufstand der Massen"" warnte vor der potentiellen Bedrohung der Ideale der liberalen Demokratie in ihren damaligen Beschränkungen und vor dem Potential der Massen, das politische System zu überwältigen und es mit Alternativen zu ersetzen, die letztendlich die grundlegenden Prinzipien der klassischen liberalen Demokratie vernichten würden, sofern es der liberalen Demokratie nicht gelänge, sich selbst zu reformieren, und die von der Massenpolitik geschaffenen Herausforderungen anzunehmen.";;La tendencia hacia el establecimiento del sufragio universal como base para determinar el equilibrio del poder político en la sociedad aliment?la esperanza de que, con la democracia, los problemas y preocupaciones de las masas pudieran resolverse por fin. El faccionalismo provocado por el crecimiento de los partidos políticos tras la instauración del sufragio universal no tard?en poner al descubierto las limitaciones de la democracia liberal como medio de arbitrio del poder en la sociedad (sobre todo en tiempos de crisis social, económica o política) y provoc?una oleada de desencanto hacia los ideales de la democracia y una búsqueda sed alternativas potenciales que pudieran cumplir la promesa de proporcionar a todos una vida mejor. Escrita en 1930 por el intelectual español Jos?Ortega y Gasset, “La rebelión de las masas?advierte sobre la amenaza potencial que para el ideal de la democracia liberal suponían sus limitaciones y la posibilidad de que las masas derribaran el sistema para reemplazarlo con alternativas que, al final, acabarían con los principios básicos de la democracia clásica si esta no lograba reformarse para hacer frente a los desafíos propuestos por la política de masas.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the_decline_of_the_west_and_the_lost_generation;The Decline Of The West and The Lost Generation;Le Déclin de l'Occident et La Génération perdue;Der Untergang des Abendlandes und The Lost Generation;;La decadencia de occidente y la generación perdida;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the_decline_of_the_west_and_the_lost_generation_desc;The combination of the dramatic social, economic and political transformations undertaken in the nineteenth century with the rise of industry and the devastation produced by mass warfare in the industrial age created a crisis of confidence among many intellectuals that the whole structure of society was under siege and in danger of complete collapse. Oswald Spengler began work on “The Decline Of The West?in 1911 as the challenges of new social, political and economic forces were shaking advanced industrial societies to their cores, with Spengler concluding that what these societies were experiencing was part of the natural cycle of civilizations that rise, have a period of brilliance, and eventually decline and collapse ?a direct challenge to the Victorian idea that modern industrial society could continually be improved as a result of humanity’s rational abilities. Coined by American author Gertrude Stein, “The Lost Generation?captured the sense of loss and emptiness that many veterans of Great War felt after surviving the carnage of the battlefields and questioning the values and beliefs that had encouraged their nations to participate in the conflicts in the first place. These themes of decline and loss that Spengler and Woolf developed would dominate the cultural landscape in the early twentieth century.;;Die Kombination der dramatischen sozialen, wirtschaftlichen und politischen Transformationen des neunzehnten Jahrhunderts mit der Industrialisierung und den Schrecken der Vernichtungskriege des Industriezeitalters führte bei vielen Intellektuellen zu einer Bewusstseinskrise. Sie fürchteten, die Struktur der Gesellschaft werde belagert und stünde kurz vor dem Zusammenbruch. Oswald Spengler begann im Jahr 1911 mit der Arbeit an seinem Werk “Der Untergang des Abendlandes? als die neuen sozialen, politischen und wirtschaftlichen Kräfte die fortschrittlichen Industriegesellschaften in ihren Grundfesten erschütterten. Spengler schloss daraus, dass das, was diesen Gesellschaften widerfuhr, Teil des natürlichen Zyklus von Zivilisationen sei, bestehend aus Aufstieg, Blütezeit, Abstieg und schließlich Zusammenbruch ?eine direkte Herausforderung des viktorianischen Gedankens, dass die moderne Industriegesellschaft aufgrund der rationalen Fähigkeiten des Menschen fortwährend verbessert werden kann. Das Verlustgefühl und die Leere, die viele Weltkriegsveteranen nach dem Gemetzel spürten und nun folgerichtig die Werte und Vorstellungen in Frage stellten, die ihre Nationen eigentlich erst zur Kriegsteilnahme bewogen hatten, wurde von der amerikanischen Autorin Gertrude Stein mit dem Ausdruck “The Lost Generation?geprägt. Die von Spengler und Woolf entwickelte Niedergangs- und Verlustthematik sollte die kulturelle Landschaft des frühen zwanzigsten Jahrhunderts dominieren.;;La combinación de las dramáticas transformaciones sociales, económicas y políticas vividas en el siglo XIX con el ascenso de la industrialización y la devastación producida por la guerra en la era industrial provoc?una crisis de confianza entre muchos intelectuales, que llegaron a la conclusión de que la estructura entera de la sociedad estaba bajo asedio y se enfrentaba a la posibilidad de un colapso total. Oswald Spengler comenz?a trabajar en “la decadencia de occidente?en 1911, cuando los desafíos de las nuevas fuerzas sociales, políticas y económicas estaban removiendo hasta los cimientos las sociedades industrializadas. La conclusión de Spengler fue que lo que estaban viviendo era una fase del ciclo natural de vida las civilizaciones (nacimiento, periodo de brillantez y, finalmente, declive y colapso), un concepto que entraba en contradicción directa con la idea victoriana de que la sociedad industrial podría seguir progresando continuamente gracias al racionalismo del ser humano. Acuñado por la escritora estadounidense Gertrude Stein, el término de “generación perdida?englobaba la sensación de pérdida y vacío que embarg?a numerosos veteranos de la Gran Guerra tras haber sobrevivido a la carnicería de los campos de batalla y los llev?a cuestionarse los valores y creencias que habían impulsado a sus países a participar en el conflicto. Las ideas del declive y la pérdida desarrolladas por Spengler y Stein continuarían dominando el paisaje cultural occidental durante la primera parte del siglo XX.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REMOVE_enlightenment_thought;Enlightenment Thought;Idées des Lumières;Erleuchtungsgedanke;;Pensamiento ilustrado;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REMOVE_enlightenment_thought_desc;Enlightenment Thought;Idées des Lumières;Erleuchtungsgedanke;;Pensamiento ilustrado;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ideological_thought;Ideological Thought;Pensée idéologique;Ideologischer Gedanke;;Pensamiento ideológico;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ideological_thought_desc;Ideological Thought;Pensée idéologique;Ideologischer Gedanke;;Pensamiento ideológico;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
authoritarianism;Authoritarianism;Autoritarisme;Autoritarismus;;Autoritarismo;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
authoritarianism_desc;Authoritarianism is the view that authority is the most important value which gives balance and stability to it. It is often combined with traditionalism to give an epistemological foundation for who should wield this authority.;L'autoritarisme est la conception selon laquelle l'autorit?est la valeur essentielle pour l'équilibre et la stabilit?sociale. Il se mêle souvent de traditionalisme pour donner un fondement épistémologique ?celui qui doit brandir cette autorit?;Autoritarismus ist die Ansicht, dass Autorität der wichtigste Wert ist und für Gleichgewicht und Stabilität sorgt. Zur wissenschaftstheoretischen Präsentation, wer diese Autorität ausüben soll, wird Autoritarismus oft mit Traditionalismus kombiniert.;;El autoritarismo es la visión de que la autoridad es el valor más importante, ++lo que le proporciona equilibrio y estabilidad++. A menudo se combina con el tradicionalismo para dar un fundamento epistemológico a quien debiera ejercer esa autoridad.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
